AK,
MT,ID;ND;SD;WY
AL,FL;GA;MS;TN
NC,GA;SC;TN;VA
AR,LA;MO;MS;OK;TN;TX
ND,MN;MT;SD
AZ,CA;NM;NV;UT
NE,CO;IA;KS;MO;SD;WY
CA,AZ;NV;OR
NH,MA;ME;VT
CO,KS;NE;NM;OK;UT;WY
NJ,DE;NY;PA
CT,MA;NY;RI
NM,AZ;CO;OK;TX
DC,MD;VA
NV,AZ;CA;ID;OR;UT
DE,MD;NJ;PA
NY,CT;MA;NJ;PA;VT
FL,AL;GA
OH,IN;KY;MI;PA;WV
GA,AL;FL;NC;SC;TN
OK,AR;CO;KS;MO;NM;TX
HI,
OR,CA;ID;NV;WA
IA,IL;MN;MO;NE;SD;WI
PA,DE;MD;NJ;NY;OH;WV
ID,MT;NV;OR;UT;WA;WY
RI,CT;MA
IL,IA;IN;KY;MO;WI
SC,GA;NC
IN,IL;KY;MI;OH
SD,IA;MN;MT;ND;NE;WY
KS,CO;MO;NE;OK
TN,AL;AR;GA;KY;MO;MS;NC;VA
KY,IL;IN;MO;OH;TN;VA;WV
TX,AR;LA;NM;OK
LA,AR;MS;TX
UT,AZ;CO;ID;NV;WY
MA,CT;NH;NY;RI;VT
VA,DC;KY;MD;NC;TN;WV
MD,DC;DE;PA;VA;WV
VT,MA;NH;NY
ME,NH
WA,ID;OR
MI,IN;OH;WI
WI,IA;IL;MI;MN
MN,IA;ND;SD;WI
WV,KY;MD;OH;PA;VA
MO,AR;IA;IL;KS;KY;NE;OK;TN
WY,CO;ID;MT;NE;SD;UT
MS,AL;AR;LA;TN
